id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,IR pressure,97,65,43,68,309,ship,baseline,monotonic-signal
g002,lowering drift,114,76,26,96,444,ship,edge,drag-penalty
g003,stack depth,82,14,19,93,326,ship,recovery,confidence-floor
g004,diagnostic reach,114,56,17,74,398,ship,negative,lane-boundary
g005,IR pressure,89,44,39,26,196,ship,baseline,monotonic-signal
g006,lowering drift,36,41,30,50,153,watch,edge,drag-penalty
g007,stack depth,101,77,6,23,313,ship,recovery,confidence-floor
g008,diagnostic reach,49,62,38,100,284,ship,negative,lane-boundary
g009,IR pressure,71,57,13,57,287,ship,baseline,monotonic-signal
g010,lowering drift,41,57,23,83,259,ship,edge,drag-penalty
g011,stack depth,74,25,30,101,315,ship,recovery,confidence-floor
g012,diagnostic reach,50,46,35,71,218,ship,negative,lane-boundary
g013,IR pressure,85,24,29,104,344,ship,baseline,monotonic-signal
g014,lowering drift,62,16,16,82,272,ship,edge,drag-penalty
g015,stack depth,54,49,32,75,243,ship,recovery,confidence-floor
g016,diagnostic reach,98,33,42,76,297,ship,negative,lane-boundary
g017,IR pressure,35,28,27,38,120,hold,baseline,monotonic-signal
g018,lowering drift,51,63,42,24,129,watch,edge,drag-penalty
g019,stack depth,63,13,9,21,163,watch,recovery,confidence-floor
g020,diagnostic reach,116,25,15,67,361,ship,negative,lane-boundary
g021,IR pressure,58,69,41,95,293,ship,baseline,monotonic-signal
g022,lowering drift,77,58,13,92,370,ship,edge,drag-penalty
g023,stack depth,90,20,22,73,302,ship,recovery,confidence-floor
g024,diagnostic reach,100,39,28,25,233,ship,negative,lane-boundary
g025,IR pressure,108,19,11,49,311,ship,baseline,monotonic-signal
g026,lowering drift,72,8,4,22,188,ship,edge,drag-penalty
g027,stack depth,101,40,44,99,352,ship,recovery,confidence-floor
g028,diagnostic reach,75,24,24,56,238,ship,negative,lane-boundary
g029,IR pressure,66,53,15,82,319,ship,baseline,monotonic-signal
g030,lowering drift,109,70,33,100,422,ship,edge,drag-penalty
g031,stack depth,90,11,23,70,285,ship,recovery,confidence-floor
g032,diagnostic reach,50,19,40,103,245,ship,negative,lane-boundary
g033,IR pressure,67,61,8,81,341,ship,baseline,monotonic-signal
g034,lowering drift,35,49,15,74,237,ship,edge,drag-penalty
g035,stack depth,67,46,20,75,290,ship,recovery,confidence-floor
g036,diagnostic reach,42,12,14,37,142,watch,negative,lane-boundary
g037,IR pressure,77,67,43,23,181,ship,baseline,monotonic-signal
g038,lowering drift,54,62,17,20,176,watch,edge,drag-penalty
g039,stack depth,90,62,27,66,320,ship,recovery,confidence-floor
g040,diagnostic reach,112,30,12,94,418,ship,negative,lane-boundary
g041,IR pressure,82,51,27,91,343,ship,baseline,monotonic-signal
g042,lowering drift,115,29,36,72,331,ship,edge,drag-penalty
g043,stack depth,91,21,42,24,167,watch,recovery,confidence-floor
g044,diagnostic reach,38,54,26,48,174,watch,negative,lane-boundary
g045,IR pressure,103,38,40,21,206,ship,baseline,monotonic-signal
g046,lowering drift,95,33,7,98,405,ship,edge,drag-penalty
g047,stack depth,51,68,13,55,254,ship,recovery,confidence-floor
g048,diagnostic reach,76,18,38,81,256,ship,negative,lane-boundary
g049,IR pressure,92,30,31,99,350,ship,baseline,monotonic-signal
g050,lowering drift,104,74,29,69,362,ship,edge,drag-penalty
g051,stack depth,69,63,9,102,387,ship,recovery,confidence-floor
g052,diagnostic reach,99,25,42,80,299,ship,negative,lane-boundary
g053,IR pressure,30,44,18,73,214,ship,baseline,monotonic-signal
g054,lowering drift,43,24,8,74,242,ship,edge,drag-penalty
g055,stack depth,53,13,25,36,141,watch,recovery,confidence-floor
g056,diagnostic reach,61,45,35,22,141,watch,negative,lane-boundary
g057,IR pressure,113,29,42,105,381,ship,baseline,monotonic-signal
g058,lowering drift,54,58,5,65,286,ship,edge,drag-penalty
g059,stack depth,116,75,41,93,411,ship,recovery,confidence-floor
g060,diagnostic reach,107,16,28,90,354,ship,negative,lane-boundary
g061,IR pressure,62,24,44,71,202,ship,baseline,monotonic-signal
g062,lowering drift,43,66,12,23,174,watch,edge,drag-penalty
g063,stack depth,91,54,39,47,252,ship,recovery,confidence-floor
g064,diagnostic reach,108,51,12,20,283,ship,negative,lane-boundary
g065,IR pressure,76,17,21,97,321,ship,baseline,monotonic-signal
g066,lowering drift,108,72,27,54,342,ship,edge,drag-penalty
g067,stack depth,83,67,11,80,371,ship,recovery,confidence-floor
g068,diagnostic reach,30,67,25,98,273,ship,negative,lane-boundary
g069,IR pressure,95,35,34,68,293,ship,baseline,monotonic-signal
g070,lowering drift,43,56,40,101,264,ship,edge,drag-penalty
g071,stack depth,65,34,23,79,276,ship,recovery,confidence-floor
g072,diagnostic reach,35,26,16,72,208,ship,negative,lane-boundary
g073,IR pressure,68,59,14,73,313,ship,baseline,monotonic-signal
g074,lowering drift,44,43,36,35,129,watch,edge,drag-penalty
g075,stack depth,79,38,27,21,184,ship,recovery,confidence-floor
g076,diagnostic reach,56,73,45,104,303,ship,negative,lane-boundary
g077,IR pressure,48,23,35,64,177,ship,baseline,monotonic-signal
g078,lowering drift,92,35,10,92,383,ship,edge,drag-penalty
g079,stack depth,117,9,20,89,381,ship,recovery,confidence-floor
g080,diagnostic reach,45,68,27,70,244,ship,negative,lane-boundary
g081,IR pressure,57,30,32,22,124,watch,baseline,monotonic-signal
g082,lowering drift,110,49,26,46,309,ship,edge,drag-penalty
g083,stack depth,52,29,13,105,317,ship,recovery,confidence-floor
g084,diagnostic reach,71,18,29,96,294,ship,negative,lane-boundary
g085,IR pressure,84,50,39,53,246,ship,baseline,monotonic-signal
g086,lowering drift,94,34,24,79,332,ship,edge,drag-penalty
g087,stack depth,102,63,39,97,383,ship,recovery,confidence-floor
g088,diagnostic reach,66,10,6,67,264,ship,negative,lane-boundary
g089,IR pressure,95,21,12,100,387,ship,baseline,monotonic-signal
g090,lowering drift,69,29,38,78,247,ship,edge,drag-penalty
g091,stack depth,60,71,10,71,313,ship,recovery,confidence-floor
g092,diagnostic reach,103,59,19,72,371,ship,negative,lane-boundary
g093,IR pressure,84,56,25,34,242,ship,baseline,monotonic-signal
g094,lowering drift,44,22,8,20,134,watch,edge,drag-penalty
g095,stack depth,61,77,43,103,319,ship,recovery,confidence-floor
g096,diagnostic reach,117,72,41,63,350,ship,negative,lane-boundary
